ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
1532,2,,1,4,1,1,4,1,2,,1,1,,2,1,,2,2,1,53
1873,1,,1,1,1,1,2,2,,,1,,,1,3,,1,1,4,76
1304,2,1,1,1,1,1,4,2,1,,,2,1,2,,1,,1,,71
992,2,2,2,3,1,3,1,2,2,0,,1,1,1,,1,,2,4,58
1228,1,1,1,1,1,1,7,2,1,1,,2,2,1,,1,1,1,6,65
1056,2,2,1,3,1,3,5,2,1,1,,1,1,1,,3,1,3,7,63
676,1,1,1,1,1,2,1,2,2,0,,,1,1,,3,1,1,2,76
512,1,2,2,1,9,,4,1,1,1,0,,,,,1,3,,,38
1790,2,,3,4,11,3,4,2,2,,0,1,,2,1,,1,2,1,23
1829,2,1,1,5,1,1,3,2,1,1,1,,1,2,,1,2,3,,54
197,2,,1,2,1,2,5,2,1,,0,1,,1,1,,3,1,3,36
1766,2,,1,1,1,3,3,2,,,0,2,,1,2,,1,2,4,75
67,2,,2,3,2,2,4,1,2,,1,2,,2,1,,1,1,4,52
1102,1,,1,4,1,3,3,1,1,,1,2,,1,1,,1,1,4,42
1635,2,1,1,2,2,2,6,2,1,1,0,,1,1,2,1,2,2,,79
1369,1,1,1,1,4,1,6,1,1,1,,1,2,2,,1,1,1,1,58
498,1,2,3,1,2,2,3,2,2,1,,1,1,,,3,2,1,1,22
1595,2,,1,1,1,3,7,2,1,,0,2,,1,2,,,,6,29
1836,1,1,1,5,11,2,4,2,1,0,,1,2,2,,1,3,1,5,39
14,2,2,2,3,1,3,4,2,,1,0,,1,1,2,1,3,2,,59
834,2,,1,1,1,3,7,2,1,,0,2,,1,2,,2,1,7,55
714,2,2,1,2,2,2,5,2,1,0,1,,1,1,1,1,2,1,,70
490,1,2,1,1,4,2,5,2,1,1,0,,1,2,1,1,3,2,,37
1322,2,,1,2,1,1,4,1,,,,2,,2,3,,3,2,,60
1821,2,,1,5,1,1,6,2,2,,1,2,,,1,,2,1,4,21
1966,1,2,1,2,1,1,4,1,1,0,,1,2,2,,2,,3,4,60
1106,1,2,1,4,1,1,3,2,2,0,,2,1,2,,1,2,2,1,55
561,2,2,1,2,1,2,4,1,2,1,1,,1,1,2,2,2,3,,86
1811,2,2,3,1,1,3,4,1,1,1,,2,1,2,,1,2,2,7,52
290,1,2,3,1,2,1,3,1,2,1,0,,1,2,1,1,2,2,,35
419,2,1,2,5,4,2,2,2,1,0,1,,1,,3,1,1,1,,19
1255,2,2,2,3,11,3,1,2,1,1,1,,1,1,2,2,2,2,,46
1690,1,,1,1,2,2,3,1,2,,0,1,,,2,,2,2,1,41
550,2,2,1,5,1,1,5,1,2,0,,1,1,2,,2,2,2,1,24
1053,2,2,1,2,1,1,2,2,1,0,1,,1,2,1,1,3,,,46
1171,1,,1,1,2,1,1,2,1,,1,2,,1,1,,2,2,5,64
660,2,2,1,5,4,1,4,2,1,1,0,,1,2,3,2,2,1,,26
1233,2,1,1,1,1,2,5,2,1,1,,2,1,1,,1,1,3,6,71
1155,1,1,2,3,1,2,1,1,1,1,1,,1,1,1,1,1,1,,70
37,1,2,1,3,1,1,,2,1,,1,,1,2,,1,,,,52
1499,1,1,1,5,11,1,4,1,1,0,1,,2,2,1,1,1,1,,30
523,2,2,2,3,1,2,5,2,1,,,2,1,1,,3,3,2,1,41
1539,2,2,1,4,1,3,4,1,,1,0,,1,,2,1,3,3,,77
1785,1,1,1,1,1,2,4,2,1,0,1,,1,2,2,1,1,,,33
885,1,,1,1,2,2,5,2,1,,1,1,,2,1,,3,3,7,41
1329,1,,1,1,1,3,2,2,,,0,2,,,,,2,2,4,73
1013,2,2,1,2,2,1,3,1,2,1,0,,1,1,,1,1,3,,84
617,1,2,3,2,2,3,2,2,2,0,1,,1,1,3,1,2,1,,72
528,1,,3,1,2,2,4,1,1,,1,2,,2,,,2,2,2,43
653,1,,3,5,11,3,4,1,2,,1,2,,,1,,2,2,1,53
936,2,,2,5,1,3,3,2,,,1,,,1,1,,2,2,4,59
1498,1,,1,5,1,1,7,1,2,,0,2,,2,2,,1,1,1,64
489,1,1,2,1,2,2,1,2,2,1,,2,2,1,,3,1,2,3,45
709,1,,1,3,1,1,4,2,1,,0,2,,2,2,,3,2,5,74
974,1,,1,5,12,3,4,2,2,,1,1,,,1,,1,1,3,30
145,2,2,1,4,2,1,2,1,1,1,,2,1,,,1,,,7,82
